County,30 minutes or longer,Directly to the Other ,Extended ,Religious ,Chief/ ,Other ,County Government Official,Traditional  Leader/  Elder,Mp (National Assembly/Senate),Member of County assembly (MCA),Police,Courts,Firewood,Electricity,(LPG) ,Biogas,Kerosene,Charcoal,Straw Shrubs Grass,Animal Dung,Agricultural Crop Residue,Other,No facility/ Bush/Field,14-17 Years Not Currently Attending,County,PPS_Female,PPS_Total ,Primary School Male,PS_Female,PS_Total ,Secondary School _Male,SS_Female,SS_Total ,Traditional healer, Maternal & Child Health Care (MCH) ,NHIF,(Source of Health Insurance)_Private-Contributory,SHI_Private-Non-Contributory,SHI_Employer-Contributory,SHI_Employer-Non-Contributory, At Home,TBA ,Vaccination Card_No,Height-for-Age_Percentage below -2SD,Weight-for-Age_Percentage below -2SD,Weight-for-Height_Percentage below -2SD,Did Not Participate in Growth Monitoring Clinics,Proportion of households that sought credit (%),Proportion of population that have a mobile phone (%),Proportion that took a trip,Droughts or Floods,Crop disease or crop pests,Livestock died,Livestock were stolen,"Household business failure, nonAgricultural",Loss of salaried employment or non-payment of salary,"End of regular assistance, aid, or remittances from outside the household",Large fall in sale prices for crops,Large rise in price of food,Robbery /Bulglery,Proportions of households reporting Greivances
Mandera,25,11.1,15.5,2.4,23,0,0,10.1,0,0,5.9,0,81.8,0.4,0,0,0,17.2,0,0,0.3,0.3,50.1,7.4,12,8.5,10.5,62,54.5,58.2,31.8,17,25.9,30.6,2.3,91.3,2.5,0,3.1,0,70.8,65.5,12.3,47.6,43.8,17.2,37.1,6,52.1,2.8,8.7,0,22.6,1.3,0.5,0.3,1.3,0.1,12.9,2.5,11.5
Marsabit,14.5,0,0,21.5,0,3.4,0,28.3,0,0,2.9,11.4,81.9,2.3,1.2,0,1.4,11,0.8,0,0,1.5,51.5,11.3,29.7,32.1,30.4,50.8,56.3,53.2,24,23.4,23.7,38.7,95.6,85.6,0,0,26.1,0,70.1,50.1,10.3,33,30.9,25,14.9,11.1,59.6,1.6,29.8,0.5,18,2.9,0.8,1.3,1.4,0,1.9,0,3.1
Isiolo,11.1,0,9.1,0,22.1,0,9,5.4,0,0,36.4,18,52.4,0,8.9,0,1.9,36.2,0,0,0,0.6,21.6,13,53.7,56.2,54.3,74.7,69.4,72.2,33,28.7,30.9,9.5,12.1,100,6.9,0,0,6.6,54.8,28.6,9,22.8,18.4,30,8.2,11.2,74.8,11.7,10.1,0.4,32.3,7.5,1.1,3,0,0,12.3,2.1,2.5
Meru,9.8,4.5,4.7,0,22.5,0,0,9.3,0,0,19.4,29,74.1,0.5,7.6,0.2,5.8,9.8,0,0,0,1.9,0.2,16,65.3,71.2,66.8,86.9,88,87.4,32.6,33,32.8,54.7,26.5,91.1,6.4,0,0.7,0,12.6,6.8,3.3,36,13.5,4.7,1.1,23.2,75.3,6.1,13.7,7.5,5.9,1.6,2.7,2.1,0,0.2,3.6,2.3,14.8
Tharaka-Nithi,22.5,2.5,15.5,0.8,32.7,5.4,0.5,1,0,0,18.3,17.7,85,0.1,4.9,0,2.6,6.7,0,0,0,0.4,0.4,7.9,66.1,52.4,60.2,91,89.1,90,29.2,36.6,33,54.4,12.5,93.6,2.9,3.9,2.4,0.3,21.5,3.1,2.4,39.7,15.5,6.3,0.7,54.3,70.2,6.3,7.5,0,7.8,1.2,1.2,1.7,0,0.5,0.5,1.5,26.9
Embu,19.9,2.2,0,0,40.9,2,0,3,0,0,26,8.4,77.3,0.7,6.9,0.2,6.7,5.9,0,0.3,0,1.8,0.8,8.1,65.5,45,57,93.6,94.9,94.2,47.7,40.6,44,10.3,43,94.5,2.9,0.7,3.3,0.1,20.2,10.8,6.7,33,16.8,3.5,32.7,43.7,79.4,9.2,21.2,1,25.3,3.6,3.4,4.6,0,0,1.5,3.6,17.3
Kitui,57.6,19.9,11.5,0,34.1,2,0,9.1,0,0,9.9,3.9,79.5,1.2,5.1,0,2.5,9,0,0,0,2.3,13.7,9.4,70.9,60.2,66,85,90.9,87.9,30.3,32.7,31.4,44.2,49.5,86.1,1.5,5.9,8,1.3,37.6,22.9,1.9,29.3,12.9,6.3,3.9,51.2,68.3,7.6,26.4,9.3,9,2.6,0.4,1.4,0.9,1.1,35.4,1.2,17.2
Machakos,15.7,4.3,3.3,0,40.5,1.3,0,1.1,0,0,9.2,20.2,50,0.3,15.4,0,24.4,6.5,0,0.2,0,3,1,5.7,58.6,64.9,61.3,95.3,95.3,95.3,41.3,58.2,49.6,30.5,55.6,99.1,0.5,4.6,1.8,0.9,23.9,13,11.2,39.8,7.5,2.7,14.5,38.5,77.9,17.8,11.5,0.2,5.1,0.8,4.3,12.4,0.4,0.6,8.9,2.2,6.5
Makueni,34,16.7,4.8,0.4,27.5,8.5,2.2,4.6,0,0.2,3.2,1.9,77.9,0,2.9,0.2,7.3,10.6,0,0,0,1,1.7,8.5,51.5,64.4,58.3,92.2,97.1,94.6,37,41.7,39.4,33.6,23,97.9,2.5,0.7,8.4,2,33.6,15.7,2.7,28.9,9.4,3.2,7.2,50.1,75.4,20.1,29,2,5.4,0,3.4,1.5,1.5,0.7,5.9,1.4,23.3
Nyandarua,4.2,0.7,0.8,0,29.6,2.1,6.8,4.6,0,0,19.8,15.2,69.5,0.2,8.4,0.7,3.3,17.6,0,0,0,0,0.2,9.8,73.9,67.6,70.6,88.4,91.3,89.8,46.6,52,49.1,48.1,43.4,95.6,2.4,0,2.5,0,12.6,0,11.7,39.2,10.3,9.9,13.2,18.2,85.6,17.1,2.5,15.6,12.6,2.6,4.5,1.9,0.2,1.9,15,2.8,10.1
Nyeri,1,3.2,5.1,0,13,0,0,0,0,0,7.6,46.9,62.9,0.1,9.4,0.6,9.8,16.2,0,0,0,0.9,0,4.9,69.4,69.6,69.5,93.4,98.9,95.9,55.7,64.8,59.9,25.4,70.6,81.6,13.4,7,0,0,6.2,0,14,27.6,4.1,6,1.8,43.1,88.3,22.4,0.6,0.9,4.2,0.6,2.6,2.2,0,0.4,0.3,6.3,7.7
Kirinyaga,3.9,3.2,2.8,0,14.4,0,0,6.1,0,0,21.4,30.5,67.8,0.1,12.6,0,9.2,8.9,0,0,0,1.2,0.2,9.6,82.1,61.3,71.6,95.3,94,94.6,55.3,68.4,62.1,38.6,54.7,77.5,26.4,0.5,1.8,0.6,3.8,1.8,4.5,28.3,7.1,0.7,7.1,34.8,82.2,8.9,6.5,4,6.9,1.3,3.3,1.6,0,1,4.6,2.1,14.6
Murang'a,6.1,0,5.4,0,31,10.3,3.1,0.7,0,0,45.1,2,80.6,0,5.7,0.3,8.1,2.4,0,0,0,2.7,0.7,17.1,64.4,51.9,58.2,94,92.8,93.4,52.1,54.8,53.4,32.4,39.7,81,18.1,0,0.4,3.4,8.7,0.4,5.1,20.1,3.8,5,4.1,34.4,81.4,11,10,7.6,17.5,2.6,3.7,2.2,1.7,0.6,5.7,2.7,9.3
Kiambu,1,9.3,4.9,0,7,7.7,0,0,0,0,16.7,36.7,23.5,1.9,35.6,0.5,21.7,15.1,0,0,0,1.8,0.2,14.3,79.2,63.5,72.5,88.6,94.4,91.3,62.5,58.7,60.5,6.6,39.7,97.1,2,0,10.8,0,13.5,1.4,3.8,26,8.7,4,28.3,31.5,87.9,9.2,0,0.8,6.5,0,1.6,7.9,0,2.5,14.6,22.7,4.8
Turkana,43.5,40.3,2.4,0,12.1,0,0,10.3,0,0,24.7,0,72.1,0,2.5,0,0.2,19.4,0,0,0,4.8,62.8,12.4,46.1,45.6,45.4,53.7,41.3,47.5,14.2,3.6,9.3,39.4,16.1,45.8,3.4,3,1,0,68,22.9,16,25.3,25.5,27.4,56.7,17.1,42.8,8.8,46.5,0,5.6,13.4,1.1,0,2.7,0,1.2,2.1,15.4
West-Pokot,33.1,1.7,5.9,0,66.8,0,0,15.5,0,0,3.3,2.4,89.9,0.2,1.2,0.1,0.4,7.6,0.3,0,0,0.2,52.5,5.4,55.2,58.8,54.7,70.7,65.5,67.9,16.7,26.6,21.5,75.5,43.7,99.6,0,4.4,0.9,0,67.2,25.6,10.8,41.2,32.8,15.4,70,38.8,48.2,2.1,30.8,0.9,12.5,1,0.2,0,0,1.7,10.7,4.9,12.9
Samburu,40.7,0,2.4,3.9,15.2,0,26.3,25.6,0,0,1.9,0,72.1,0,3.7,0.2,0.4,23.3,0,0,0,0.3,65.1,7.2,57.7,59.2,58.4,65.7,48.3,56.6,13.1,20.3,16.5,32.5,19.2,94.3,0,2.7,4,0,72.8,64.2,16.6,33.1,32.1,25.3,22.8,7,54.5,2.3,49.5,0.7,21.1,5,0.4,1,0,0.3,1,2.7,10.9
Trans-Nzoia,5.3,3.4,1.4,1.1,32.4,4.6,0,13.6,0,0,10.8,9.1,65.8,0,6.4,0.5,4.9,17.7,0,0,4,0.8,1.6,12.3,47.8,56.4,52.9,84.8,85.4,85.1,31.9,25.3,29.1,31.8,58.7,98,14.3,4.9,0.3,0.7,51.4,24.1,3.3,37,14.7,1.7,1.8,30.4,70.8,10.6,21.7,3.3,27.2,4.1,11.8,3.3,0.4,0,2.7,2,10.4
Uasin-Gishu,2.8,2,2.6,0,23.8,10,0.6,7.2,0,0,12.1,11.4,44,0.4,9.6,0.1,13.7,27.3,0.2,0,4,0.6,1.4,7.9,72.2,81.2,76.8,85.7,88.7,87.1,33.3,44.9,39.6,24.2,58.8,95.1,1.8,1.5,10.1,2.3,21,9.4,1.8,28,12.6,4.4,34.6,22,75.5,12.7,9.9,1.6,5.5,1.2,5.6,7.3,0.2,1.3,6.2,6.2,19.1
Elgeyo/Marakwet,2.4,0.7,6.6,4,43,0,0,27.1,0,0,5.2,9.2,86.6,0.1,0.7,0.1,0.3,9.7,0.3,0,0,1.8,12,4.1,67.3,65.8,71.5,85.6,89.8,88,23.2,31.3,27.2,23.3,11.1,97.6,3.2,1.8,1.6,0,29.1,9.9,3.1,32.2,17.8,5.3,25.7,43.1,62.6,5.1,3.9,6.4,8.1,1.1,0.3,1.4,0,2,0,0.3,15.6
Nandi,1.6,18.6,6.8,0,17.3,4.2,0,23,0,0,16.6,2.7,86.6,0.3,4.1,0,1.9,5,0.2,0,0.1,1.9,2,10.9,82.9,76.9,79.6,84.8,84.3,84.5,14.6,39.7,26.9,8.7,75.8,95.4,3.2,0.5,2.1,0.2,38.9,23.7,2.1,31.1,10.4,6.3,3.8,24.2,69,2.4,10.5,27.4,20.8,0.6,0.9,0.5,0,1.1,6.6,1.7,8.4
Baringo,30.9,11.6,6.9,0,45.3,3.4,0,10.2,0,0,3.4,12.3,73.5,0.4,3.5,0,1.2,17,0.3,0,0,4,27.7,10.8,76.7,66.4,70.5,85.9,80.5,82.9,20,34.5,26.9,36.4,71.2,96.3,7.1,0,4,0,40.5,33.4,3.9,30,21.6,8.1,7.1,44.4,68.2,17.5,16.7,19,20.8,1.7,4.2,1.7,0.3,4,10.5,2.6,13.3
Laikipia,14.5,2.6,0,1,8.6,2.3,0,14,0,0,0.3,6.5,52.6,0.3,14.1,0.2,5,26.6,0,0,0,1.1,15.4,8.8,45.2,51.4,48.3,79.3,72.4,75.9,39.6,45.5,42.6,22.7,18.5,98.4,0.4,0.3,1.5,0,40.3,26.2,3.8,33.1,20.6,6.2,51.5,15.5,79.2,11.6,31.6,2.5,4.6,2,3.6,3.6,1.5,2.3,12.1,1.4,14.6
Nakuru,5.3,27.8,5.8,0,9.1,2.3,0,4.1,0,1.9,8.8,10.8,42.6,1.4,13.2,0.2,10.8,30.7,0.1,0,0,0.6,0.7,13.5,69.6,83.1,75.9,92.6,90.2,91.3,39.9,42.1,41.2,11.9,48.3,96.1,5.4,0.5,2.8,0.6,33.5,8,3.2,33.4,11.1,1.4,5.5,30.4,84,13.8,13.6,19.5,2.7,2.8,2.9,5.6,1.1,1.8,10.7,5.6,9.6
Narok,25,1.5,1.3,2.5,15.6,1.1,0.9,13.2,1.7,0,8.5,14.5,57.1,0.7,6,0,4.9,29.6,0,0,0,0.8,30.8,12.6,44.5,48.9,47.7,71,81,76.1,20.7,21.2,20.9,39.7,56.5,90.7,2.3,0,2.8,0,61.8,33.9,6.3,39.4,17.1,4.3,7,20.6,72.3,12.6,18.2,31.4,11.4,1.5,2.6,0.5,0.3,2.4,6.7,1.2,22
Kajiado,7.6,5.2,0,0.7,34.6,5.1,4.3,1.3,0,0,29.1,1.4,23.2,0.2,35.3,0.3,20.2,17.9,0,0,0,2.4,11.8,11.5,57.9,65.8,61.3,82.1,78.7,80.6,44.2,47.1,45.6,5,50.2,96.5,3.1,0,2.3,7.5,22.9,19.1,10.4,25,9.8,4.8,57.7,31.1,88.6,15,25.2,3.4,4.3,0.2,2.2,10.8,2.4,0.7,7.6,5.9,15
Kericho,11.3,0,13.1,0,36.3,2.9,0,11.4,0,0,8.5,13,78.2,0.1,6.3,0,1.5,13.7,0,0,0,0.3,4.9,4.5,65.7,70.4,67.9,91.9,92.5,92.2,38.1,38.1,38.1,41.6,17.4,96.2,2.2,0,14.4,1.3,32,22.4,0,32.3,12,4,4.7,54.4,69.4,8.4,10.2,30.4,11.5,0.1,3,3.8,0.4,1.2,3.1,1.8,20.3
Bomet,7.1,62.5,0,14.2,0,0,0,14.2,0,0,9,0,93.5,0,2.1,0,1.4,2.1,0,0,0,0.4,5.6,6.9,56.3,60.9,59.3,90.6,89.5,90.1,30.7,30.4,30.5,43.3,5.1,97.9,2.4,0,0.3,0.6,35,2.1,0.6,33,13.7,7.2,11.9,19.5,62.6,2.9,26.7,35,8.6,2.2,1.7,0,0,1.9,6.9,2.1,0.6
Kakamega,3.1,2.6,16.8,0,30.6,4.4,1,11.8,0,0,4.2,14.5,85,0,2.1,0,3.4,9.4,0,0,0,0.1,0.2,7.3,58.6,66.1,62.8,83.5,90.5,87.1,29.6,43.4,35.5,8.4,34.3,97.6,0.6,0.2,1.2,1.5,35.8,8.3,3.7,27.6,8.7,2,6.5,27.1,70.8,6.4,2.6,5.5,13,3.8,3.7,4.9,0.5,0.3,5.9,1,24.5
Vihiga,6.2,14.6,2.1,1,12.1,3.4,0,19.6,0,0,11.3,12.9,89,0,3.6,0,3.8,3,0,0,0,0.5,0.5,9.7,68,54.2,61.4,92.9,85.9,89.7,43.2,41.4,42.3,52.8,61.2,94.8,3.1,1.8,1,2.7,24.8,4.1,2,22.4,6.1,2.6,4,60.6,72.7,10.7,0,4.7,25.6,4.8,8.3,3.1,5.2,0.5,5.7,6.1,15.5
Bungoma,27.2,11.3,18.7,0.7,18.2,1.3,0,13,0,0,15.1,2.9,82.2,0,4.7,0,3.2,7.4,0,0,0,1.1,7,1.5,58.3,61.5,59.5,80.8,83.2,82.1,37.5,43.8,40.5,13.7,24.8,71.7,0.4,0,2.2,0,50.3,10.5,15.1,33.3,8.2,2.7,10.6,32.8,66.7,8.1,16.8,4.5,8.8,3.4,3.9,2,0.2,4.6,3.9,4.2,32.5
Busia,10.6,0,8.8,8.1,40.1,0,0,0,0,0,6.9,16.4,83.1,0.4,2.6,0,2,11.1,0,0,0,0.8,1.3,9.5,61.9,59.6,60.5,83,78.1,80.3,23.9,21.9,22.9,32.2,28.4,96.4,1.7,4.9,5.5,2.3,39.3,17.6,9.8,29.5,9.1,3.7,5.8,5.5,60.7,4.2,13.9,0.8,3,1.1,1.7,8.2,1,0,3.5,1.1,3
Siaya,10.8,2.5,6.6,0,33.2,8.3,2.3,14.1,0,0,10.1,5.9,71.7,0.6,2.3,0.4,4,19.6,0,0,0,1.1,4.1,11.9,68.5,72,70.2,79.9,83.3,81.5,33.5,29.9,31.6,58.8,35.7,85.5,11.8,9.4,9,0,13,6.9,5.5,30.4,7.1,3.1,17.1,36.2,74.5,5.9,5.7,1.5,7,1.1,0.5,6,1.7,0.1,2.9,5.1,15.1
Kisumu,2.8,7.7,8.5,0.6,28,3.1,1.3,12.9,0,0,20.1,5.6,32.5,0.5,7.6,0,19.7,38,0.3,1.2,0,0.3,2.9,11.7,81.6,83.4,83.5,84.7,92.3,88.1,32.2,46.4,38.1,56.9,42.2,93.1,1.9,0.2,11,0.2,11.7,6.5,3.6,23.9,5.2,5.5,11.9,33.2,88.1,36.6,6.6,6.6,20.5,14.7,2.9,2.5,0.5,0,4.1,7.4,28
Homa-Bay,18.1,19.7,23.8,0,19.3,2.6,0.8,5.5,0,0,8,3.7,76.4,0.2,3.3,0,0.7,17.1,0.2,0,0.6,1,17.7,10.3,67.4,67.4,67.4,76.5,82.6,79.5,30.1,29.4,29.7,23.9,6.7,97.8,1.6,1.4,6,0,31.5,22.2,15.7,32.1,10.1,4.4,13.6,42,64.7,9.1,12.5,2.7,6.1,1.3,3.4,0.5,0.4,26.6,8.7,1.2,21.1
Migori,25.3,0.9,7,0.8,17.7,2.8,0.7,2.5,0,0,2.7,1.3,82.1,0.2,4,0,2,11.3,0,0,0,0.5,22.6,7.4,72.7,77.8,76.6,74.2,80.3,77.3,34.6,30.9,32.7,57.4,44.9,97.1,1.4,0,2.9,0.2,21.9,15.1,0.1,26.5,7.6,8,2.5,64.2,70.3,17.2,8.6,3.5,5.7,1.2,4.9,2.8,2.2,2.2,4.2,3.1,28.4
Kisii,17.8,39.4,1.5,0,43,0.1,2.1,2.3,0,0,1.9,3.1,76.3,1,6.8,0,4.3,10.3,0,0,0,1.1,0,5.4,78.7,81.7,80.1,84,92.6,87.9,41.6,53.1,46.9,19.8,36.2,97.2,3.2,0,0,0,6.5,3.8,2.5,27.6,11,6.8,16.2,59.7,75.1,5,23.6,4.2,2.8,0.3,7.3,9.6,9.2,8.4,13.5,1.9,34.1
Nyamira,18.8,20.1,16.9,1.2,15.2,0.6,1.6,15.1,0,0,0.9,1.1,77.6,0,9.3,0.1,3.6,8.2,0,0,0,1.1,0.3,6.1,80.6,84.9,83,86.7,87.3,87,51,47.3,49.2,42.8,79.2,89.5,14.4,0.1,5.1,1.5,15.9,7.7,2.8,23.2,5.6,3.5,5.8,66.1,74.5,7.3,23.5,19.9,6.5,1.6,7.1,2,0.9,4.3,4.7,4.9,38.8
Nairobi-City,0.4,26.5,5.9,0,13,0.5,1.3,0.6,0,0,15.2,9.8,1.4,4.6,40,0.2,47,5.3,0,0,0,0.6,0,13.3,68.6,78.8,74,90.1,91.1,90.6,62.4,67,65,16.3,42.7,96.3,1.4,0.3,12.9,0.7,8.8,1.6,2.9,21.4,10.2,5.6,8.5,33.9,94,35.6,2.5,1.8,0,0.7,7.3,9.5,1.4,1,29.9,10.9,17.9
